# 從《墨子引得》謄錄出來
一	1/10000
乙	1/18810
丁	1/70200
七	1/30810
乃	1/78220
九	1/38010
人	1/90000
入	1/90000
八	1/90000
几	1/88210
刀	1/78220
刁	1/18120
力	1/38020
卜	1/20000
又	1/88400
丈	1/50000
丌	1/70220
三	1/10100
上	1/70700
下	1/70200
久	1/28900
乞	1/90810
也	1/33810
于	1/70300
亡	1/01810
凡	1/88210
刃	1/78220
千	1/20300
口	1/88881
土	1/30700
士	1/30700
夕	1/28200
大	1/30900
女	1/30400
子	1/18300
寸	1/30000
小	1/60000
尸	1/88281
山	1/22890
川	5/20220
工	1/70700
己	1/18810
已	1/18810
干	1/70300
弋	1/30000
弓	1/18200
才	1/50000
不	1/70600
中	1/58082
之	1/08900
予	3/10720
云	3/11600
五	1/70701
并	1/55001
亢	3/01810
方	3/01220
什	5/90300
仁	5/90110
仇	5/90310
今	2/90020
允	3/60210
元	3/11210
内	1/38220
公	2/90600
六	3/01900
凶	2/28400
分	2/90720
刈	5/40220
勿	2/22220
化	5/90310
匹	2/81210
升	1/23300
午	4/90300
下	3/01200
及	1/78240
友	4/30840
反	4/12840
壬	1/20700
天	1/70390
太	1/30900
夫	1/50900
天	1/20390
孔	5/13210
少	1/60200
无	1/30010
尹	1/78582
尺	1/88291
屯	1/50810
巴	1/88812
弔	1/78522
引	5/12200
心	1/00010
戈	1/50000
月	4/22180
手	1/20500
支	3/30840
攴	3/70840
文	3/01400
斗	1/03000
斤	4/22720
方	3/01220
日	1/88882
曰	1/88882
月	2/82112
木	1/30600
止	1/27700
殳	3/81840
毋	1/88854
母	1/88884
比	5/71710
毛	1/20810
氏	4/28300
水	1/29600
火	1/60900
爪	4/22290
父	2/90400
牙	1/70231
牛	1/25000
天	1/30900
王	1/70700
且	2/87113
世	1/33811
丘	1/82701
丙	1/70220
主	3/01370
乍	4/90700
乎	1/20300
乏	3/90190
?	1/20590	[丿夫]
仕	5/90370
他	5/90310
仞	5/90720
代	5/90300
付	5/90300
仗	5/90500
令	2/90020
以	5/27900
兄	3/88211
冬	2/24010
凷	2/28370
出	1/22880
面	1/20880
功	5/77320
加	5/32881
包	2/22811
北	5/70710
匝	2/81300
半	1/60500
占	3/70881
卯	5/82820
去	3/37600
古	3/30881
句	2/22881
召	3/72881
可	2/72881
台	3/60881
叱	5/88311
史	1/58002
右	4/30881
司	1/18821
囚	2/88900
四	2/88210
外	5/22200
失	1/25900
央	1/58902
奴	5/34840
孕	2/72130
余	2/90600
尼	4/82211
左	4/30770
巧	5/77720
巨	2/71181
市	3/01320
布	4/30320
平	1/70300
幼	5/66320
弗	1/55004
必	1/03010
戊	1/50200
斥	4/22740
旦	1/88102
未	1/50600
本	1/50090
正	1/70700
母	1/88850
民	4/88301
氾	5/01810
犯	5/42810
玄	3/01660
玉	1/70700
瓜	4/22290
瓦	1/70310
甘	1/33982
生	1/25700
用	2/82504
田	2/88304
由	1/58884
甲	1/88584
申	1/58084
白	1/28882
皮	4/32840
皿	2/87223
目	2/88113
矛	3/10720
矢	4/90390
石	4/72881
示	3/11600
禾	1/20600
穴	3/02900
立	3/01910
丞	1/18100
交	3/01940
亥	3/01690
亦	3/01220
饭	5/90840
仰	5/90820
仲	5/90502
仳	5/90710
仵	5/90930
?	5/90501	[亻㐄]
件	5/90250
任	5/90270
仔	5/90120
伊	5/90752
伍	5/90771
伏	5/90390
伐	5/90500
休	5/90360
北	5/02210
充	3/01610
先	3/27210
光	3/67210
全	2/90770
共	3/37901
再	1/70334
冰	5/01260
刑	5/73221
列	5/74220
匠	2/81820
国	2/81770
印	5/81820
危	3/22810
各	2/24881
合	2/90181
吉	3/37881
同	2/82181
名	4/82881
后	4/22181
吏	1/50002
回	2/88881
因	2/88390
在	4/39370
地	5/37310
夙	2/81720
列	5/72720
多	4/82220
夷	1/50902
奸	5/34730
好	5/34130
如	5/34881
妄	3/01240
字	3/02130
存	4/39130
宅	3/02210
宇	3/02730
守	3/02300
安	3/02340
州	5/20220
年	4/90501
式	2/30770
戍	2/50900
戎	2/50300
弛	5/12310
彴	5/29220
扦	5/50730
樵	5/50310
扣	5/50881
收	5/27940
早	3/88302
曲	1/55886
有	4/30822
朱	1/25600
朽	5/36720
大	5/11290
此	5/27710
死	1/70210
汗	5/01730
汝	5/01340
江	5/01770
池	5/01310
汗	5/01720
灰	4/30690
单	3/60250
牝	5/25310
百	3/72882
竹	5/60600
米	1/60600
缶	4/90380
羊	3/91500
羽	5/72720
老	4/33710
考	4/33720
而	3/72820
耳	2/73113
聿	1/58002
肉	2/32900
肌	5/82812
臣	2/81223
自	2/28113
至	3/76370
舌	3/23881
舟	1/28330
色	3/22812
艾	3/33400
血	2/27223
行	5/29120
衣	3/01990
西	1/70881
阡	5/82230
亨	3/01821
伯	5/90282
估	5/90381
佃	5/90584
但	5/90873
似	5/90290
佃	5/90884
但	5/90812
位	5/90010
低	5/90830
住	5/90070
佐	5/90370
佑	5/90381
何	5/90721
余	2/90760
佚	5/90290
佛	5/90554
作	5/90970
克	3/30811
兌	2/90811
免	3/72812
兵	3/87901
冶	5/01681
初	5/09720
判	5/65220
别	5/82221
利	5/26220
助	5/87323
自	3/70883
劫	5/36320
却	5/36820
卵	5/82820
底	4/12830
君	4/85883
音	3/01481
吟	5/88921
吠	5/88391
吡	5/88711
否	3/76881
舆	2/29882
吹	5/88291
吻	5/88221
吾	3/77882
告	3/25881
呂	3/88282
困	2/88360
圾	5/37740
均	5/37220
坎	5/37290
坏	5/37760
坐	1/99700
壮	5/27370
夾	1/30900
妖	5/34290
孝	4/33130
孜	5/13940
宋	3/02360
鼓	5/28340
巫	1/70700
希	3/40330
茈	4/02710
序	4/02120
延	2/14270
廷	2/14270
弟	3/90752
形	5/73221
役	5/29840
钧	5/29220
忌	3/11010
忍	3/72010
志	3/37010
忘	3/01210
折	5/60820
成	2/50720
我	1/25500
戒	2/50330
扶	5/50590
批	5/50710
找	5/50500
技	5/50340
抄	5/50620
把	5/50812
抑	5/50820
抒	5/50120
投	5/50840
抗	5/50010
折	5/50820
抎	5/50160
?	5/50110
攸	5/90240
改	5/11940
攻	5/77940
旱	3/88732
更	1/70404
李	3/36130
材	5/36300
杙	5/36300
杘	4/82361
杖	5/36500
杜	5/36370
柚	5/36310
束	1/50602
步	3/27220
每	4/90850
汲	5/01740
汶	5/01040
决	5/01591
沃	5/01290
沈	5/01310
沐	5/01360
沒	5/01240
沙	5/01620
油	5/01500
诉	5/01760
灼	5/69220
牡	5/25370
牢	3/02250
狂	5/42770
狄	5/42690
甫	1/50224
甬	3/10824
男	3/88324
矣	3/60990
私	5/26600
究	3/02910
肖	3/60822
肝	5/82732
良	4/08902
芋	3/33730
芒	3/33010
見	3/88213
角	3/22824
言	3/01181
谷	2/90981
豆	3/18911
豕	1/70600
貝	3/88903
赤	3/37220
走	3/37790
足	3/88791
身	1/28303
車	1/50004
辛	3/01930
最	4/12190
邑	3/83813
邦	5/50820
邪	5/73821
里	1/88704
阬	5/82010
阯	5/82270
防	5/82020
並	3/91270
事	1/50084
亟	1/70101
享	3/01831
佯	5/90950
佴	5/90733
佼	5/90040
使	5/90502
來	1/30600
侈	5/90220
侍	5/90330
侔	5/90650
佻	5/90010
侗	5/90821
供	5/90391
依	5/90090
兒	3/88210
兕	3/88210
皃	3/28210
兔	3/72812
兩	2/72990
其	3/37903
具	3/87904
典	3/57906
函	2/28760
到	5/77220
刳	5/32220
制	5/25220
刺	5/56220
刻	5/09220
效	5/04320
券	2/69720
卑	3/25304
卒	3/01930
卷	2/69810
卹	5/27823
㕁	5/46820
叔	5/76840
取	5/77843
受	3/22040
周	2/82581
味	5/88561
呡	5/88832
呼	5/88231
命	2/90121
和	5/26881
答	2/24881
固	2/88381
坡	5/37340
坦	5/37812
坼	5/37820
坽	5/37920
垂	1/20704
?	5/37360	[土去]
?	5/37381	[土古]
夜	3/01940
奇	3/39721
奈	2/39160
奉	2/59500
妻	3/50342
妾	3/01940
姊	5/34501
始	5/34681
姑	5/34381
姒	5/34290
姓	5/34270
委	3/26340
孟	3/13873
季	3/26130
孤	5/13890
宕	3/02781
宗	3/02160
官	3/02882
定	3/02790
宜	3/02873
?	3/02790	[宀工八]
尙	3/60821
居	4/82382
屈	4/82281
㞐	4/82011
帛	3/28302
幷	5/23230
幸	3/37930
底	4/02830
庖	4/02211
庚	4/02592
弢	5/12240
弦	5/12060
弩	3/34120
彼	5/29340
往	5/29070
征	5/28770
忠	3/50012
忽	3/22010
忿	2/90710
性	5/60270
怪	5/60870
或	2/50811
民	4/22190
所	5/82821
承	1/18590
披	5/50340
抬	5/50681
抯	5/50873
押	5/50854
排	5/50554
拆	5/50820
拊	5/50930
措	5/50382
拒	5/50811
拔	5/50340
拘	5/50221
拙	5/50280
招	5/50781
放	5/02940
政	5/77940
斧	2/90420
於	5/02910
昆	3/88712
昌	3/88884
明	5/88824
昏	4/28382
易	3/88222
昔	3/37883
服	5/82842
杯	5/36760
東	1/50604
杵	5/36930
抒	5/36120
松	5/36960
板	5/36840
枕	5/36310
枉	5/36770
枏	5/36852
林	5/36360
枚	5/36940
果	1/88604
枝	5/36340
欣	5/82290
武	2/13270
殁	5/72240
毒	3/57850
沐	5/01360
沮	5/01873
河	5/01721
沺	5/01884
治	5/01681
沽	5/01381
況	5/01811
泄	5/01311
泏	5/01280
法	5/01360
泠	5/01920
泣	5/01010
注	5/01070
泒	5/01890
?	5/01410    [氵犯]
炊	5/69290
炎	2/69690
炙	4/82690
爭	3/22752
版	5/22840
牧	5/25940
物	5/25720
狀	5/27390
狎	5/42854
狐	5/42890
狗	5/42221
疚	4/02290
盂	3/73873
盲	3/01238
直	3/30274
知	5/99881
社	5/06370
祀	5/06811
秆	5/26730
秉	1/20602
空	3/02970
罔	2/82910
股	5/82842
肢	5/82342
肺	5/82502
肥	5/82814
肩	4/02823
肯	3/27822
肱	5/82362
育	3/01622
肸	5/82932
臥	5/87903
臾	1/89390
舍	2/90281
芟	3/33840
芫	3/33110
芬	3/33920
芳	3/33020
芸	3/33160
虎	3/70810
表	3/57990
迎	2/09820
近	2/09820
邸	5/83820
采	3/22360
金	2/90770
長	3/87290
門	5/82824
阜	3/28302
阿	5/82721
附	5/82930
值	5/90270
雨	2/72000
青	3/57822
非	5/70700
亭	3/01821
侮	5/90950
侯	5/90190
侵	5/90140
便	5/90744
係	5/90260
俄	5/90250
俔	5/90813
俗	5/90981
俚	5/90874
?	5/90212
保	5/90861
俞	2/90122
俟	5/90690
倍	5/90081
冠	3/02110
剃	5/92222
則	5/89223
削	5/62222
前	3/91822
勁	5/17320
勇	3/10824
勉	2/21322
南	3/30820
四	5/21822
卻	5/98821
厚	4/12832
叛	5/65840
咨	3/19881
咷	5/88011
咸	2/50181
哀	3/01891
品	3/88883
哆	5/88221
哉	2/35881
呲	5/88211
垣	5/37112
奏	2/59790
契	3/52390
奔	2/39330
姧	5/34730
姦	3/34340
威	2/50740
孩	5/13090
客	3/02281
宣	3/02112
室	3/02770
封	5/37300
屋	4/82771
